review_id,product_id,review_date,rating,sentiment,keywords,review_len,review_word_count,reviews_username,reviews_title,brand,categories
AVpgdkC8ilAPnD_xsvyi,B018Y22BI4,2016-11-25 00:00:00,5,positive,"kindles,years,latest,one,also",74,16,craftie,good value,Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers"
AVqkIhwDv8e3D1O-lebb,B01AHB9CN2,2017-03-18 00:00:00,4,positive,"bought,old,kindle,one,replace",278,52,Janet,Great picture quality,Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets"
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,2017-09-03 00:00:00,3,positive,"would,small,thought,big,paper",211,41,llyyue,Too small,Amazon,"Computers,Electronics Features,Tablets,Electronics,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Computers & Tablets,Amazon,Tablets & eBook Readers"
AVpftoij1cnluZ0-p5n2,B00IOYAM4I,2015-08-12 00:00:00,5,negative,"needed,something,read,sunlight,fire",61,12,Lester,love it,Amazon,"Computers & Tablets,E-Readers & Accessories,eBook Readers,Kindle E-readers"
AVqkIh9HQMlgsOJE6fu_,B01AHBDCKQ,2017-02-11 00:00:00,1,positive,"week,junk,bought,used,use",696,146,PatF,"less than 120 days, about 100 use. It is toast!",Amazon,"Fire Tablets,Tablets,All Tablets,Amazon Tablets,Computers & Tablets"
AVqVGWLKnnc1JgDc3jF1,B018Y23MNM,2017-05-17 00:00:00,4,positive,"grandson,really,enjoyed,product,good",51,8,Donnie,Good product for young child.,Amazon,"Fire Tablets,Tablets,All Tablets,Amazon Tablets,Computers & Tablets"
AVpidLjVilAPnD_xEVpI,B0189XYY0Q,2017-03-03 00:00:00,5,positive,"initially,going,get,amazon,kindle",210,44,gloria,GREAT TABLET,Amazon,"eBook Readers,Fire Tablets,Electronics Features,Tablets,Amazon Tablets,College Ipads & Tablets,Electronics,Electronics Deals,College Electronics,Featured Brands,All Tablets,Computers & Tablets,Back To College,Amazon Devices,Tablets & E-Readers"
AWFUWc8THh53nbDRF6YO,B010CEHQTG,2017-12-16 00:00:00,5,positive,"great,gift,anyone,easy,setup",90,16,doyson,Amazon Echo Show - Greatest Gift EVER,Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants"
AVqkIh8WQMlgsOJE6fu-,B01ACEKAJY,2017-03-16 00:00:00,5,positive,"several,weeks,works,great,satisfied",86,18,peaches43,Great Device,Amazon,"Fire Tablets,Tablets,Computers/Tablets & Networking,Other Computers & Networking,Computers & Tablets,All Tablets"
AVpfIfGA1cnluZ0-emyp,B00QFQRELG,2016-08-11 00:00:00,5,negative,"charger,kindle,fire,needed,second",151,29,jediliz,Works great for charging my Kindle Fire,Amazon,"Computers & Accessories,Tablet & E-Reader Accessories,Amazon Devices & Accessories,Electronics,Power Adapters & Cables,Computers Features,Cell Phone Accessories,Cell Phone Batteries & Power,Digital Device Accessory,Tablet Accessories,Featured Brands,Kindle Fire (2nd Generation) Accessories,Kindle Store,Power Adapters Cables,Electrical,Home,Tablets & E-Readers,Chargers Adapters,Chargers & Adapters,Electronics Features,Fire Tablet Accessories,Amazon Book Reader Accessory,Cell Phones,Amazon Device Accessories,Home Improvement,Fire (5th Generation) Accessories,Amazon Devices,Cables & Chargers"
AWK8z0pOIwln0LfXlSxH,B01J24C0TI,2017-10-27 00:00:00,4,positive,"amazon,google,home,use,prime",743,129,rainypages,Not Nearly as Smart as Google Home,Amazon,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon"
AVpfpK8KLJeJML43BCuD,B01BH83OOM,2016-12-15 00:00:00,5,positive,"bought,echo,first,liked,much",140,29,VaBeach,Great Tech!,Amazon,"Amazon Echo,Home Theater & Audio,MP3 MP4 Player Accessories,Electronics,Portable Audio,Compact Radios Stereos,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Electronic Components,Home Automation,Mobile Bluetooth Speakers,Home, Garage & Office,Amazon Tap,Home,Mobile Speakers,TVs & Electronics,Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Electronics Features,Frys,Speakers,Mobile,Digital Device 3,Smart Home,Home Improvement,Electronics, Tech Toys, Movies, Music,Smart Home & Home Automation Devices,Smart Hubs,MP3 Player Accessories,Home Safety & Security,Voice Assistants,Amazon Home,Alarms & Sensors,Portable Audio & Electronics,Amazon Devices,Audio,Bluetooth Speakers,MP3 Accessories,All Bluetooth & Wireless Speakers"
AVphPmHuilAPnD_x3E5h,B00IOY8XWQ,2016-06-17 00:00:00,5,positive,"missing,light,bright,reading,older",603,113,DebraPants,"Great e-reader, no complaints",Amazon,"eBook Readers,Electronics Features,Walmart for Business,Tablets,See more Amazon Kindle Voyage (Wi-Fi),Electronics,Office Electronics,iPad & Tablets,Kindle E-readers,E-Readers & Accessories,All Tablets,See more Amazon Kindle Voyage 4GB, Wi-Fi  3G (Unlocked...,Computers & Tablets"
AV-XeQLWuC1rwyj_gbP5,B01N32NCPM,2018-05-23 00:00:00,5,positive,"lazy,mans,drean,combined,alexa",120,23,Prelude428,Awesome!,Amazon,"Amazon SMP,TV, Video & Home Audio,Electronics,Electronics Deals,TVs Entertainment,Digital Device 4,Tvs & Home Theater,Featured Brands,Video Devices & TV Tuners,Consumer Electronics,TV & Video,Internet & Media Streamers,Streaming Media Players,Fire TV,Streaming Devices,Amazon Devices,Amazon,See more Amazon Fire TV with Alexa Voice Remote Digital..."
AWMjT0WguC1rwyj_rFh3,B06XB29FPF,2017-12-15 00:00:00,5,positive,"lights,works,great,turns,h",130,27,Jayjag,So far so good.,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3"
AVqkIiKWnnc1JgDc3khH,B01AHB9CYG,2017-02-03 00:00:00,4,positive,"video,apps,quality,good,works",242,42,KBuyer,Good - But could be much better.,Amazon,"Tablets,Fire Tablets,Electronics,Computers,Computer Components,Hard Drives & Storage,Computers & Tablets,All Tablets"
AVpjEN4jLJeJML43rpUe,B018Y225IA,2017-01-17 00:00:00,5,positive,"tablet,perfect,travel,recently,took",162,30,randomA2resident,Great tablet for great price,Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets"
AVqVGZN9QMlgsOJE6eUZ,B00REQKWGA,2016-06-01 00:00:00,5,positive,"lightweight,convenient,use,love,new",53,9,merafa,Great,Amazon,"Kindle E-readers,Electronics Features,Computers & Tablets,E-Readers & Accessories,E-Readers,eBook Readers"
AVqkIdZiv8e3D1O-leaJ,B018Y224PY,2016-08-05 00:00:00,4,positive,"cons,compatible,google,apps,use",304,43,Stephwilkes,Excellent for Amazon product users and shoppers.,Amazon,"Tablets,Fire Tablets,Electronics,iPad & Tablets,Android Tablets,Computers & Tablets,All Tablets"
AVqVGZSEQMlgsOJE6eUc,B017JG41PC,2018-02-21 00:00:00,5,positive,"gf,loved,uses,time,gets",82,19,Manuelm,Great product,Amazon,"Office,eBook Readers,Electronics Features,Walmart for Business,Tablets,Electronics,Amazon Ereaders,Office Electronics,iPad & Tablets,Kindle E-readers,All Tablets,Amazon Book Reader,Computers & Tablets"
AVqkIhkhv8e3D1O-lebZ,B01AHBBG04,2016-11-04 00:00:00,4,positive,"love,tablet,purchased,gift,glad",67,15,Lng10,PERFECT!,Amazon,"Fire Tablets,Tablets,All Tablets,Amazon Tablets"
AVqVGZO3nnc1JgDc3jGK,B00VINDBJK,2016-12-10 00:00:00,5,positive,"kindle,charge,oasis,would,read",3668,709,ljbinion,Reasons I Love My Kindle Oasis,Amazon,"eBook Readers,E-Readers & Accessories,Amazon Book Reader,Computers & Tablets,Amazon Ereaders,Kindle E-readers,E-Readers"
AVqkIj9snnc1JgDc3khU,B01AHB9C1E,2017-01-06 00:00:00,4,neutral,"bought,wife,constant,reader,put",177,34,Kibil,Easy reader,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets"
AVph0EeEilAPnD_x9myq,B018Y22C2Y,2016-12-23 00:00:00,4,positive,"good,product,young,child,play",60,11,Mrawesome,Good for kids,Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets"
