review_id,product_id,review_text,rating,review_date,reviews_username,reviews_title,reviews_numhelpful,reviews_dorecommend,brand,name,categories,primarycategories,review_len,review_word_count,clean_text,sentiment,keywords
AVpgdkC8ilAPnD_xsvyi,B018Y22BI4,I've had kindles for years and this latest one is also right up at the top,5,2016-11-25 00:00:00+00:00,craftie,good value,0,True,Amazon,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black","Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,74,16,i've had kindles for years and this latest one is also right up at the top,positive,"kindles,years,latest,one,also"
AVqkIhwDv8e3D1O-lebb,B01AHB9CN2,"This was bought to replace my old Kindle with keypad, and experimental internet. Was surprised how much the Kindle had changed, and at the same price as my old one was when I bought it!Have already shown it to a couple of friends who now say they are thinking about getting one.",4,2017-03-18 00:00:00+00:00,Janet,Great picture quality,0,True,Amazon,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,278,52,"this was bought to replace my old kindle with keypad, and experimental internet. was surprised how much the kindle had changed, and at the same price as my old one was when i bought it!have already shown it to a couple of friends who now say they are thinking about getting one.",positive,"bought,old,kindle,one,replace"
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.,3,2017-09-03 00:00:00+00:00,llyyue,Too small,0,False,Amazon,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","Computers,Electronics Features,Tablets,Electronics,iPad & Tablets,Kindle E-readers,iPad Accessories,Used:Tablets,E-Readers,E-Readers & Accessories,Computers/Tablets & Networking,Used:Computers Accessories,iPads Tablets,All Tablets,Tablets & E-readers,Computers & Tablets,Amazon,Tablets & eBook Readers",Electronics,211,41,i thought it would be as big as small paper but turn out to be just like my palm. i think it is too small to read on it... not very comfortable as regular kindle. would definitely recommend a paperwhite instead.,positive,"would,small,thought,big,paper"
AVpftoij1cnluZ0-p5n2,B00IOYAM4I,i needed something to read in the sunlight other than fire hd,5,2015-08-12 00:00:00+00:00,Lester,love it,2,True,Amazon,Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,"Computers & Tablets,E-Readers & Accessories,eBook Readers,Kindle E-readers",Electronics,61,12,i needed something to read in the sunlight other than fire hd,negative,"needed,something,read,sunlight,fire"
AVqkIh9HQMlgsOJE6fu_,B01AHBDCKQ,"Bought this mostly as a backup.and to read a few books, since I have a larger cell phone and a back up. Used it occasionally may 40 or 50 hours of use till this week when I sent my laptop in for repairs. so I probably used it a tot this week. I was watching my 3rd Primetime video this week and it simply turned off. It will not turn on using any power trick such as safe mode. It is gone, It is toast. Bought it October 11, 2016 , It quit on February 9, 2015. My old Fire lasted 4 or 5 years with more use. it had stereo speakers, lasted a week on a charge not 2 or 3 days.Sturdier built. This is full of junk, I am not just offered more apps, it is constantly trying to add them. JUNK JUNK JUNK",1,2017-02-11 00:00:00+00:00,PatF,"less than 120 days, about 100 use. It is toast!",0,False,Amazon,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue","Fire Tablets,Tablets,All Tablets,Amazon Tablets,Computers & Tablets",Electronics,696,146,"bought this mostly as a backup.and to read a few books, since i have a larger cell phone and a back up. used it occasionally may 40 or 50 hours of use till this week when i sent my laptop in for repairs. so i probably used it a tot this week. i was watching my 3rd primetime video this week and it simply turned off. it will not turn on using any power trick such as safe mode. it is gone, it is toast. bought it october 11, 2016 , it quit on february 9, 2015. my old fire lasted 4 or 5 years with more use. it had stereo speakers, lasted a week on a charge not 2 or 3 days.sturdier built. this is full of junk, i am not just offered more apps, it is constantly trying to add them. junk junk junk",positive,"week,junk,used,bought,lasted"
AVqVGWLKnnc1JgDc3jF1,B018Y23MNM,My grandson really enjoyed this product. Good deal.,4,2017-05-17 00:00:00+00:00,Donnie,Good product for young child.,0,True,Amazon,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","Fire Tablets,Tablets,All Tablets,Amazon Tablets,Computers & Tablets",Electronics,51,8,my grandson really enjoyed this product. good deal.,positive,"grandson,really,enjoyed,product,good"
AVpidLjVilAPnD_xEVpI,B0189XYY0Q,I was initially going to just get the Amazon Kindle but I thought this gives me a tablet and a easy way to read books. I buy e-college texts. It has helped me so much!! I'm so happy I invested my money in this.,5,2017-03-03 00:00:00+00:00,gloria,GREAT TABLET,0,True,Amazon,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum","eBook Readers,Fire Tablets,Electronics Features,Tablets,Amazon Tablets,College Ipads & Tablets,Electronics,Electronics Deals,College Electronics,Featured Brands,All Tablets,Computers & Tablets,Back To College,Amazon Devices,Tablets & E-Readers","Office Supplies,Electronics",210,44,i was initially going to just get the amazon kindle but i thought this gives me a tablet and a easy way to read books. i buy e-college texts. it has helped me so much!! i'm so happy i invested my money in this.,positive,"initially,going,get,amazon,kindle"
AWFUWc8THh53nbDRF6YO,B010CEHQTG,Great Gift for anyone. Very easy to setup. Coexist with all IOT Devices. Alexa is AWESOME!,5,2017-12-16 00:00:00+00:00,doyson,Amazon Echo Show - Greatest Gift EVER,0,True,Amazon,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen","Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",90,16,great gift for anyone. very easy to setup. coexist with all iot devices. alexa is awesome!,positive,"great,gift,anyone,easy,setup"
AVqkIh8WQMlgsOJE6fu-,B01ACEKAJY,I have had this for several weeks. It works great. I am very satisfied with it so far.,5,2017-03-16 00:00:00+00:00,peaches43,Great Device,0,True,Amazon,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black","Fire Tablets,Tablets,Computers/Tablets & Networking,Other Computers & Networking,Computers & Tablets,All Tablets",Electronics,86,18,i have had this for several weeks. it works great. i am very satisfied with it so far.,positive,"several,weeks,works,great,satisfied"
AVpfIfGA1cnluZ0-emyp,B00QFQRELG,I needed a second charger (for traveling) for my Kindle Fire that was a fast charger. This worked great. It charges my Kindle fire in just a few hours.,5,2016-08-11 00:00:00+00:00,jediliz,Works great for charging my Kindle Fire,0,True,Amazon,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,"Computers & Accessories,Tablet & E-Reader Accessories,Amazon Devices & Accessories,Electronics,Power Adapters & Cables,Computers Features,Cell Phone Accessories,Cell Phone Batteries & Power,Digital Device Accessory,Tablet Accessories,Featured Brands,Kindle Fire (2nd Generation) Accessories,Kindle Store,Power Adapters Cables,Electrical,Home,Tablets & E-Readers,Chargers Adapters,Chargers & Adapters,Electronics Features,Fire Tablet Accessories,Amazon Book Reader Accessory,Cell Phones,Amazon Device Accessories,Home Improvement,Fire (5th Generation) Accessories,Amazon Devices,Cables & Chargers",Electronics,151,29,i needed a second charger (for traveling) for my kindle fire that was a fast charger. this worked great. it charges my kindle fire in just a few hours.,negative,"charger,fire,kindle,second,needed"
AWK8z0pOIwln0LfXlSxH,B01J24C0TI,"I love having the screen available to use for certain tasks like streaming doorbell video, security camera footage, Amazon Prime music lyrics and videos, but I am disappointed that Amazon’s implementation of YouTube on the Echo Show violated Google's terms of service so they got the app pulled from the Show. Also, honestly, and anyone can prove it just through everyday use, but the Echo is just not as useful as Google Assistant with inquiries. It works pretty well with home automation but it just doesn't understand or can't help with about half of the inquiries I throw at it. I would have gone with a Google Home if there was one with a touchscreen. I would recommend it for those heavily invested in Amazon Prime and home automation.",4,2017-10-27 00:00:00+00:00,rainypages,Not Nearly as Smart as Google Home,0,True,Amazon,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen","Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",743,129,"i love having the screen available to use for certain tasks like streaming doorbell video, security camera footage, amazon prime music lyrics and videos, but i am disappointed that amazon⊙s implementation of youtube on the echo show violated google's terms of service so they got the app pulled from the show. also, honestly, and anyone can prove it just through everyday use, but the echo is just not as useful as google assistant with inquiries. it works pretty well with home automation but it just doesn't understand or can't help with about half of the inquiries i throw at it. i would have gone with a google home if there was one with a touchscreen. i would recommend it for those heavily invested in amazon prime and home automation.",positive,"google,home,use,echo,show"
AVpfpK8KLJeJML43BCuD,B01BH83OOM,"Bought the echo first, and liked it so much I bought a Tap to add mobility. I carry it around all the time, to the garage, working out, etc.",5,2016-12-15 00:00:00+00:00,VaBeach,Great Tech!,0,True,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,"Amazon Echo,Home Theater & Audio,MP3 MP4 Player Accessories,Electronics,Portable Audio,Compact Radios Stereos,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Electronic Components,Home Automation,Mobile Bluetooth Speakers,Home, Garage & Office,Amazon Tap,Home,Mobile Speakers,TVs & Electronics,Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Electronics Features,Frys,Speakers,Mobile,Digital Device 3,Smart Home,Home Improvement,Electronics, Tech Toys, Movies, Music,Smart Home & Home Automation Devices,Smart Hubs,MP3 Player Accessories,Home Safety & Security,Voice Assistants,Amazon Home,Alarms & Sensors,Portable Audio & Electronics,Amazon Devices,Audio,Bluetooth Speakers,MP3 Accessories,All Bluetooth & Wireless Speakers",Electronics,140,29,"bought the echo first, and liked it so much i bought a tap to add mobility. i carry it around all the time, to the garage, working out, etc.",positive,"bought,echo,first,liked,much"
AVphPmHuilAPnD_x3E5h,B00IOY8XWQ,"I had an older version of a Kindle e-reader that allowed me to download books on the go, but I felt like something was missing. Several upgrades later, I got this for a gift, and I think it basically includes everything that was missing. It is so lightweight and compact that I can easily slip it into my purse or use it with one hand. It has backlighting that doesn't disturb my sleeping husband or create a light so bright that it is distracting- it's just the right amount of light needed to read in different ligths. It can self-adjust from reading in a dark room to reading outside on a bright day.",5,2016-06-17 00:00:00+00:00,DebraPants,"Great e-reader, no complaints",0,True,Amazon,"Amazon - Kindle Voyage - 6"" - 4GB - Black","eBook Readers,Electronics Features,Walmart for Business,Tablets,See more Amazon Kindle Voyage (Wi-Fi),Electronics,Office Electronics,iPad & Tablets,Kindle E-readers,E-Readers & Accessories,All Tablets,See more Amazon Kindle Voyage 4GB, Wi-Fi  3G (Unlocked...,Computers & Tablets",Electronics,603,113,"i had an older version of a kindle e-reader that allowed me to download books on the go, but i felt like something was missing. several upgrades later, i got this for a gift, and i think it basically includes everything that was missing. it is so lightweight and compact that i can easily slip it into my purse or use it with one hand. it has backlighting that doesn't disturb my sleeping husband or create a light so bright that it is distracting- it's just the right amount of light needed to read in different ligths. it can self-adjust from reading in a dark room to reading outside on a bright day.",positive,"missing,bright,reading,light,kindle"
AV-XeQLWuC1rwyj_gbP5,B01N32NCPM,A lazy mans drean when it is combined with Alexa. If you get the harmony hub you can really impress with home automation,5,2018-05-23 00:00:00+00:00,Prelude428,Awesome!,0,True,Amazon,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,"Amazon SMP,TV, Video & Home Audio,Electronics,Electronics Deals,TVs Entertainment,Digital Device 4,Tvs & Home Theater,Featured Brands,Video Devices & TV Tuners,Consumer Electronics,TV & Video,Internet & Media Streamers,Streaming Media Players,Fire TV,Streaming Devices,Amazon Devices,Amazon,See more Amazon Fire TV with Alexa Voice Remote Digital...",Electronics,120,23,a lazy mans drean when it is combined with alexa. if you get the harmony hub you can really impress with home automation,positive,"lazy,mans,drean,combined,alexa"
AWMjT0WguC1rwyj_rFh3,B06XB29FPF,Works great. Turns H&A up and down. Tv on and off. Lights on and off. All from Alexa. You do have to have apps and special lights.,5,2017-12-15 00:00:00+00:00,Jayjag,So far so good.,0,True,Amazon,Amazon - Echo Plus w/ Built-In Hub - Silver,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",130,27,works great. turns h&a up and down. tv on and off. lights on and off. all from alexa. you do have to have apps and special lights.,positive,"lights,works,great,h,turns"
AVqkIiKWnnc1JgDc3khH,B01AHB9CYG,Video quality is very good. Works well with Amazon Prime Video and Music - no surprises there. Apps are VERY disappointing - many common apps are not available - even though there are Android versions! Not bad if you have modest expectations.,4,2017-02-03 00:00:00+00:00,KBuyer,Good - But could be much better.,0,True,Amazon,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta","Tablets,Fire Tablets,Electronics,Computers,Computer Components,Hard Drives & Storage,Computers & Tablets,All Tablets",Electronics,242,42,video quality is very good. works well with amazon prime video and music - no surprises there. apps are very disappointing - many common apps are not available - even though there are android versions! not bad if you have modest expectations.,positive,"video,apps,quality,works,good"
AVpjEN4jLJeJML43rpUe,B018Y225IA,This tablet is perfect for travel! Recently took it on a trip and the battery lasted the entire day with watching shows on and off on Netflix. Great first tablet!,5,2017-01-17 00:00:00+00:00,randomA2resident,Great tablet for great price,0,True,Amazon,"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue","Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,162,30,this tablet is perfect for travel! recently took it on a trip and the battery lasted the entire day with watching shows on and off on netflix. great first tablet!,positive,"tablet,perfect,travel,recently,took"
AVqVGZN9QMlgsOJE6eUZ,B00REQKWGA,lightweight and convenient to use. love my new kindle,5,2016-06-01 00:00:00+00:00,merafa,Great,1,True,Amazon,"Kindle Oasis E-reader with Leather Charging Cover - Black, 6"" High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers","Kindle E-readers,Electronics Features,Computers & Tablets,E-Readers & Accessories,E-Readers,eBook Readers",Electronics,53,9,lightweight and convenient to use. love my new kindle,positive,"lightweight,convenient,use,love,new"
AVqkIdZiv8e3D1O-leaJ,B018Y224PY,"Cons:Isn't compatible with some of my Google apps that I use daily.Does not operate the latest Facebook updates.Camera image quality is poor.Pros:Smooth interface, user friendly.Good battery life.Supports kids' separate profiles so that it may be shared by family members.Easily syncs with other devices.",4,2016-08-05 00:00:00+00:00,Stephwilkes,Excellent for Amazon product users and shoppers.,0,True,Amazon,"Fire Tablet with Alexa, 7"" Display, 16 GB, Magenta - with Special Offers","Tablets,Fire Tablets,Electronics,iPad & Tablets,Android Tablets,Computers & Tablets,All Tablets",Electronics,304,43,"cons:isn't compatible with some of my google apps that i use daily.does not operate the latest facebook updates.camera image quality is poor.pros:smooth interface, user friendly.good battery life.supports kids' separate profiles so that it may be shared by family members.easily syncs with other devices.",positive,"cons,compatible,google,apps,use"
AVqVGZSEQMlgsOJE6eUc,B017JG41PC,My gf loved it and uses it all the time. She gets books she wanted to follow up on,5,2018-02-21 00:00:00+00:00,Manuelm,Great product,0,True,Amazon,"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers","Office,eBook Readers,Electronics Features,Walmart for Business,Tablets,Electronics,Amazon Ereaders,Office Electronics,iPad & Tablets,Kindle E-readers,All Tablets,Amazon Book Reader,Computers & Tablets","Office Supplies,Electronics",82,19,my gf loved it and uses it all the time. she gets books she wanted to follow up on,positive,"gf,loved,uses,time,gets"
AVqkIhkhv8e3D1O-lebZ,B01AHBBG04,I love this tablet. I purchased them for gift and am so glad I did!,4,2016-11-04 00:00:00+00:00,Lng10,PERFECT!,0,True,Amazon,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue","Fire Tablets,Tablets,All Tablets,Amazon Tablets",Electronics,67,15,i love this tablet. i purchased them for gift and am so glad i did!,positive,"love,tablet,purchased,gift,glad"
AVqVGZO3nnc1JgDc3jGK,B00VINDBJK,"Even when I’m outside in bright sunlight, the words of the book I’m reading are still crystal clear. That alone makes the Kindle Oasis worth what it cost me.The Kindle Oasis wakes up in just seconds, and any book I choose instantly opens, ready to be read.It is the perfect size and isn’t heavy or bulky. I really do read for hours at a time. Sometimes I pace the floor while I read. Sometimes I’m on my elliptical machine when I read. And sometimes I’m sitting down. No matter what I’m doing, the Kindle Oasis remains comfortable to hold, and it is always easy on my eyes.When I receive a book that is in PDF, most of the time I can enlarge the words. If it won’t allow me to enlarge the words, I can change the orientation of the page and the words are automatically larger. I am able to make notes on the book if needed, and I can highlight words and/or passages.My merlot leather cover is attractive. When I flip it open, it is just like opening the cover of a book.How to Make the Battery LastOn the Kindle Oasis page, it says that its “dual-battery charging system delivers months of battery life.” This was a huge thing for me. Instead of having to charge my tablet almost every day, I would be able to read for months without charging the Kindle!Is this how my Oasis has performed? Well, not so much. There are conditions that have to be met for the charge on your Oasis to last for two months.First, you have to limit your reading to thirty minutes a day. That one is impossible for me. There are days that I am only able to read for thirty minutes, but they don’t occur very often. My Kindle goes everywhere with me, and I use just about every spare moment to read.Second, the wireless needs to be turned off. That one is easy to do but not always easy to remember. The only time the wireless needs to be on is to download one or more books.Third, this is based on your light setting at 10. That is way too low for me. I keep my light setting anywhere from 16 to 18.I don’t limit my reading to thirty minutes a day, and I try to remember to keep my wireless turned off. My light setting is kept anywhere from 16 to 18, and I put my Kindle to sleep the second I’m done reading. So how long does a single charge last me? Ten days is the longest a charge has lasted me so far, but it would have kept a charge for several more days if I had remembered to turn my wireless off. Once I succeed in keeping my wireless off, I will let you know how long the charge lasts.Now, I don’t plug it in to charge as soon as the charge on the cover gets low. I allow my cover charge to go as low as it will possibly go and then the Kindle battery will start to drain since it can no longer charge from the cover. I allow it to drain down to about 50% before I plug the cover and Kindle into my computer to charge.The one thing that surprised me was that everything on the Oasis is in black and white. For some reason, I thought that maybe the book covers would appear in color. But since I bought the Oasis to read books on, color isn’t needed.Special offers do appear on my screen but only when my Kindle is going to sleep or waking up. They aren’t a distraction, and to be honest, they are kind of fun to look at. You can pay a higher price so they won’t appear on your Kindle if you would rather not see them.I asked myself some questions once I had my Kindle and knew just how it worked. If I had known before I bought my Kindle Oasis that the charge wouldn’t last for months, would I still have bought it? Yes, I would have. If I had known that everything would appear in black and white, would I still have bought it? Yes, I would have.",5,2016-12-10 00:00:00+00:00,ljbinion,Reasons I Love My Kindle Oasis,6,True,Amazon,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers","eBook Readers,E-Readers & Accessories,Amazon Book Reader,Computers & Tablets,Amazon Ereaders,Kindle E-readers,E-Readers","Electronics,Media",3668,709,"even when i⊙m outside in bright sunlight, the words of the book i⊙m reading are still crystal clear. that alone makes the kindle oasis worth what it cost me.the kindle oasis wakes up in just seconds, and any book i choose instantly opens, ready to be read.it is the perfect size and isn⊙t heavy or bulky. i really do read for hours at a time. sometimes i pace the floor while i read. sometimes i⊙m on my elliptical machine when i read. and sometimes i⊙m sitting down. no matter what i⊙m doing, the kindle oasis remains comfortable to hold, and it is always easy on my eyes.when i receive a book that is in pdf, most of the time i can enlarge the words. if it won⊙t allow me to enlarge the words, i can change the orientation of the page and the words are automatically larger. i am able to make notes on the book if needed, and i can highlight words and/or passages.my merlot leather cover is attractive. when i flip it open, it is just like opening the cover of a book.how to make the battery laston the kindle oasis page, it says that its ⊜dual-battery charging system delivers months of battery life.⊝ this was a huge thing for me. instead of having to charge my tablet almost every day, i would be able to read for months without charging the kindle!is this how my oasis has performed? well, not so much. there are conditions that have to be met for the charge on your oasis to last for two months.first, you have to limit your reading to thirty minutes a day. that one is impossible for me. there are days that i am only able to read for thirty minutes, but they don⊙t occur very often. my kindle goes everywhere with me, and i use just about every spare moment to read.second, the wireless needs to be turned off. that one is easy to do but not always easy to remember. the only time the wireless needs to be on is to download one or more books.third, this is based on your light setting at 10. that is way too low for me. i keep my light setting anywhere from 16 to 18.i don⊙t limit my reading to thirty minutes a day, and i try to remember to keep my wireless turned off. my light setting is kept anywhere from 16 to 18, and i put my kindle to sleep the second i⊙m done reading. so how long does a single charge last me? ten days is the longest a charge has lasted me so far, but it would have kept a charge for several more days if i had remembered to turn my wireless off. once i succeed in keeping my wireless off, i will let you know how long the charge lasts.now, i don⊙t plug it in to charge as soon as the charge on the cover gets low. i allow my cover charge to go as low as it will possibly go and then the kindle battery will start to drain since it can no longer charge from the cover. i allow it to drain down to about 50% before i plug the cover and kindle into my computer to charge.the one thing that surprised me was that everything on the oasis is in black and white. for some reason, i thought that maybe the book covers would appear in color. but since i bought the oasis to read books on, color isn⊙t needed.special offers do appear on my screen but only when my kindle is going to sleep or waking up. they aren⊙t a distraction, and to be honest, they are kind of fun to look at. you can pay a higher price so they won⊙t appear on your kindle if you would rather not see them.i asked myself some questions once i had my kindle and knew just how it worked. if i had known before i bought my kindle oasis that the charge wouldn⊙t last for months, would i still have bought it? yes, i would have. if i had known that everything would appear in black and white, would i still have bought it? yes, i would have.",positive,"kindle,charge,would,oasis,read"
AVqkIj9snnc1JgDc3khU,B01AHB9C1E,"Bought this for my wife. She is a constant reader and put away her previous Kindles for this one. She now has internet access also, so she can find more books anytime she wants.",4,2017-01-06 00:00:00+00:00,Kibil,Easy reader,0,True,Amazon,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 32 GB, Tangerine - with Special Offers","Tablets,Fire Tablets,Computers & Tablets,All Tablets",Electronics,177,34,"bought this for my wife. she is a constant reader and put away her previous kindles for this one. she now has internet access also, so she can find more books anytime she wants.",neutral,"bought,wife,constant,reader,put"
AVph0EeEilAPnD_x9myq,B018Y22C2Y,Good product for a young child to play with without breaking,4,2016-12-23 00:00:00+00:00,Mrawesome,Good for kids,0,True,Amazon,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case","Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,60,11,good product for a young child to play with without breaking,positive,"good,product,young,child,play"
